exp,emp_title,compensation,perc_remote,co_size,co_location,year,emp_location,emp_ID
MI,Data Analyst,105380,0.0,M,United States,2023,"(37.09024, -95.712891)",84799
MI,Data Analyst,64500,0.0,M,United States,2023,"(37.09024, -95.712891)",79539
EN,Data Quality Analyst,100000,100.0,L,Nigeria,2023,"(9.081999, 8.675277)",37672
EN,Compliance Data Analyst,30000,100.0,L,Nigeria,2023,"(9.081999, 8.675277)",97345
MI,Machine Learning Engineer,20984,50.0,L,India,2022,"(20.593684, 78.96288)",26659
EN,Applied Scientist,204620,0.0,L,United States,2023,"(37.09024, -95.712891)",33548
EN,Applied Scientist,110680,0.0,L,United States,2023,"(37.09024, -95.712891)",50856
SE,Data Engineer,270703,0.0,M,United States,2023,"(37.09024, -95.712891)",88336
SE,Data Engineer,221484,0.0,M,United States,2023,"(37.09024, -95.712891)",86736
SE,Data Scientist,212750,100.0,M,United States,2023,"(37.09024, -95.712891)",66118
SE,Data Scientist,185000,100.0,M,United States,2023,"(37.09024, -95.712891)",63284
SE,Data Scientist,262000,100.0,M,United States,2023,"(37.09024, -95.712891)",65172
SE,Data Scientist,245000,100.0,M,United States,2023,"(37.09024, -95.712891)",79805
SE,Data Scientist,275300,100.0,M,United States,2023,"(37.09024, -95.712891)",70709
SE,Data Scientist,183500,100.0,M,United States,2023,"(37.09024, -95.712891)",55040
SE,Data Scientist,218500,100.0,M,United States,2023,"(37.09024, -95.712891)",23473
SE,Data Scientist,199098,100.0,M,United States,2023,"(37.09024, -95.712891)",94267
SE,Data Engineer,203300,100.0,M,United States,2023,"(37.09024, -95.712891)",14821
SE,Data Engineer,123600,100.0,M,United States,2023,"(37.09024, -95.712891)",44466
SE,Research Engineer,189110,0.0,M,United States,2023,"(37.09024, -95.712891)",97725
SE,Research Engineer,139000,0.0,M,United States,2023,"(37.09024, -95.712891)",79750
EX,Data Scientist,258750,0.0,M,United States,2023,"(37.09024, -95.712891)",21345
EX,Data Scientist,185000,0.0,M,United States,2023,"(37.09024, -95.712891)",79299
SE,Data Engineer,231500,100.0,M,United States,2023,"(37.09024, -95.712891)",18113
SE,Data Engineer,166000,100.0,M,United States,2023,"(37.09024, -95.712891)",65191
SE,Data Scientist,172500,100.0,M,United States,2023,"(37.09024, -95.712891)",57379
SE,Data Scientist,110500,100.0,M,United States,2023,"(37.09024, -95.712891)",70217
SE,Data Engineer,238000,0.0,M,United States,2023,"(37.09024, -95.712891)",30814
SE,Data Engineer,176000,0.0,M,United States,2023,"(37.09024, -95.712891)",81305
SE,Data Engineer,237000,100.0,M,United States,2023,"(37.09024, -95.712891)",25465
SE,Data Engineer,201450,100.0,M,United States,2023,"(37.09024, -95.712891)",28366
SE,Applied Scientist,309400,0.0,L,United States,2023,"(37.09024, -95.712891)",72160
SE,Applied Scientist,159100,0.0,L,United States,2023,"(37.09024, -95.712891)",52313
SE,Data Engineer,115000,0.0,M,United States,2023,"(37.09024, -95.712891)",49134
SE,Data Engineer,81500,0.0,M,United States,2023,"(37.09024, -95.712891)",84171
SE,Data Scientist,237000,100.0,M,United States,2023,"(37.09024, -95.712891)",38336
SE,Data Scientist,201450,100.0,M,United States,2023,"(37.09024, -95.712891)",79431
SE,Computer Vision Engineer,280000,0.0,M,United States,2023,"(37.09024, -95.712891)",66885
SE,Computer Vision Engineer,210000,0.0,M,United States,2023,"(37.09024, -95.712891)",76997
SE,Data Architect,280100,100.0,M,United States,2023,"(37.09024, -95.712891)",51721
SE,Data Architect,168100,100.0,M,United States,2023,"(37.09024, -95.712891)",34165
SE,Data Engineer,193500,100.0,M,United States,2023,"(37.09024, -95.712891)",14124
SE,Data Engineer,139000,100.0,M,United States,2023,"(37.09024, -95.712891)",99148
MI,Data Scientist,65062,0.0,L,Hong Kong,2023,"(22.396428, 114.109497)",48183
SE,Machine Learning Engineer,150000,100.0,M,United States,2023,"(39.399872, -8.224454)",30846
MI,Applied Machine Learning Engineer,69751,100.0,S,Germany,2023,"(20.593684, 78.96288)",42807
EN,AI Developer,300000,50.0,L,India,2022,"(20.593684, 78.96288)",60811
MI,Machine Learning Engineer,96578,100.0,L,Netherlands,2023,"(52.132633, 5.291266)",52349
SE,Business Intelligence Engineer,185900,0.0,M,United States,2023,"(37.09024, -95.712891)",77317
SE,Business Intelligence Engineer,129300,0.0,M,United States,2023,"(37.09024, -95.712891)",69382
SE,Data Engineer,225000,100.0,M,United States,2023,"(37.09024, -95.712891)",97351
SE,Data Engineer,175000,100.0,M,United States,2023,"(37.09024, -95.712891)",87437
SE,Data Engineer,185000,0.0,M,United States,2023,"(37.09024, -95.712891)",87953
SE,Data Engineer,140000,0.0,M,United States,2023,"(37.09024, -95.712891)",83124
SE,Data Scientist,48289,0.0,M,Spain,2023,"(40.463667, -3.74922)",98304
SE,Data Scientist,38631,0.0,M,Spain,2023,"(40.463667, -3.74922)",58516
SE,Data Scientist,105000,0.0,M,United States,2023,"(37.09024, -95.712891)",55612
SE,Data Scientist,70000,0.0,M,United States,2023,"(37.09024, -95.712891)",74233
EN,Machine Learning Engineer,163196,0.0,M,United States,2023,"(37.09024, -95.712891)",64117
EN,Machine Learning Engineer,145885,0.0,M,United States,2023,"(37.09024, -95.712891)",66156
SE,Data Engineer,217000,100.0,M,United States,2023,"(37.09024, -95.712891)",33918
SE,Data Engineer,185000,100.0,M,United States,2023,"(37.09024, -95.712891)",57902
SE,Data Analyst,202800,0.0,L,United States,2023,"(37.09024, -95.712891)",13799
SE,Data Analyst,104300,0.0,L,United States,2023,"(37.09024, -95.712891)",92003
SE,Data Analyst,145000,0.0,M,United States,2023,"(37.09024, -95.712891)",48052
SE,Data Analyst,65000,0.0,M,United States,2023,"(37.09024, -95.712891)",28640
SE,Data Engineer,165000,0.0,M,United States,2023,"(37.09024, -95.712891)",88052
SE,Data Engineer,132300,0.0,M,United States,2023,"(37.09024, -95.712891)",23525
SE,Data Engineer,179170,0.0,M,United States,2023,"(37.09024, -95.712891)",97801
SE,Data Engineer,94300,0.0,M,United States,2023,"(37.09024, -95.712891)",24520
SE,Analytics Engineer,152500,0.0,M,United States,2023,"(37.09024, -95.712891)",19004
SE,Analytics Engineer,116450,0.0,M,United States,2023,"(37.09024, -95.712891)",36749
SE,Data Engineer,247300,0.0,M,United States,2023,"(37.09024, -95.712891)",68656
SE,Data Engineer,133800,0.0,M,United States,2023,"(37.09024, -95.712891)",94482
SE,Research Engineer,203000,0.0,M,United States,2023,"(37.09024, -95.712891)",67828
SE,Research Engineer,133000,0.0,M,United States,2023,"(37.09024, -95.712891)",35088
EN,Research Scientist,220000,50.0,L,United States,2023,"(37.09024, -95.712891)",17412
EN,Machine Learning Engineer,56536,100.0,S,Switzerland,2022,"(46.818188, 8.227512)",67253
SE,Data Scientist,120000,0.0,M,United States,2023,"(37.09024, -95.712891)",51566
SE,Analytics Engineer,289800,0.0,M,United States,2023,"(37.09024, -95.712891)",63982
SE,Analytics Engineer,214000,0.0,M,United States,2023,"(37.09024, -95.712891)",51828
SE,Analytics Engineer,179820,0.0,M,United States,2023,"(37.09024, -95.712891)",82609
SE,Analytics Engineer,143860,0.0,M,United States,2023,"(37.09024, -95.712891)",40705
SE,Machine Learning Engineer,283200,100.0,M,United States,2023,"(37.09024, -95.712891)",29903
SE,Machine Learning Engineer,188800,100.0,M,United States,2023,"(37.09024, -95.712891)",85911
SE,Analytics Engineer,214200,0.0,M,United States,2023,"(37.09024, -95.712891)",90750
SE,Data Engineer,185900,0.0,M,United States,2023,"(37.09024, -95.712891)",38711
SE,Data Engineer,129300,0.0,M,United States,2023,"(37.09024, -95.712891)",16002
SE,Data Engineer,252000,0.0,M,United States,2023,"(37.09024, -95.712891)",87584
SE,Data Engineer,129000,0.0,M,United States,2023,"(37.09024, -95.712891)",55835
MI,Data Analytics Manager,155000,0.0,M,United States,2023,"(37.09024, -95.712891)",58774
MI,Data Analytics Manager,140000,0.0,M,United States,2023,"(37.09024, -95.712891)",77232
SE,Data Engineer,161800,100.0,M,United States,2023,"(37.09024, -95.712891)",27767
SE,Data Engineer,141600,100.0,M,United States,2023,"(37.09024, -95.712891)",64519
SE,Machine Learning Engineer,342300,0.0,L,United States,2023,"(37.09024, -95.712891)",52926
SE,Machine Learning Engineer,176100,0.0,L,United States,2023,"(37.09024, -95.712891)",53312
MI,Data Engineer,100000,100.0,M,United States,2023,"(37.09024, -95.712891)",19002
MI,Data Engineer,70000,100.0,M,United States,2023,"(37.09024, -95.712891)",50609
EN,Data Engineer,85000,0.0,M,United States,2023,"(37.09024, -95.712891)",36704
EN,Data Engineer,65000,0.0,M,United States,2023,"(37.09024, -95.712891)",67831
SE,Data Scientist,138784,100.0,M,United States,2023,"(37.09024, -95.712891)",91234
SE,Data Scientist,83270,100.0,M,United States,2023,"(37.09024, -95.712891)",25371
EN,Data Analyst,75000,0.0,M,United States,2023,"(37.09024, -95.712891)",40608
EN,Data Analyst,70000,0.0,M,United States,2023,"(37.09024, -95.712891)",67138
SE,Data Analyst,204500,0.0,M,United States,2023,"(37.09024, -95.712891)",53811
SE,Data Analyst,138900,0.0,M,United States,2023,"(37.09024, -95.712891)",49379
SE,Machine Learning Engineer,318300,100.0,M,United States,2023,"(37.09024, -95.712891)",54430
SE,Machine Learning Engineer,212200,100.0,M,United States,2023,"(37.09024, -95.712891)",81075
SE,Data Engineer,95000,100.0,M,United States,2023,"(37.09024, -95.712891)",29863
SE,Data Engineer,75000,100.0,M,United States,2023,"(37.09024, -95.712891)",88744
SE,Data Scientist,195000,0.0,M,United States,2023,"(37.09024, -95.712891)",18363
SE,Data Scientist,160000,0.0,M,United States,2023,"(37.09024, -95.712891)",89711
SE,Analytics Engineer,230000,0.0,M,United States,2023,"(37.09024, -95.712891)",85259
SE,Analytics Engineer,143200,0.0,M,United States,2023,"(37.09024, -95.712891)",88495
MI,Business Data Analyst,105000,50.0,L,United States,2023,"(37.09024, -95.712891)",28198
MI,Applied Data Scientist,20670,100.0,L,India,2023,"(20.593684, 78.96288)",70988
MI,Data Analyst,46178,0.0,M,United Kingdom,2023,"(55.378051, -3.435973)",96292
MI,Data Analyst,42533,0.0,M,United Kingdom,2023,"(55.378051, -3.435973)",56273
SE,Data Engineer,145000,0.0,M,United States,2023,"(37.09024, -95.712891)",80248
SE,Data Analyst,168400,0.0,M,United States,2023,"(37.09024, -95.712891)",92384
SE,Data Analyst,105200,0.0,M,United States,2023,"(37.09024, -95.712891)",46929
SE,Machine Learning Engineer,190000,0.0,M,United States,2023,"(37.09024, -95.712891)",17946
SE,Machine Learning Engineer,150000,0.0,M,United States,2023,"(37.09024, -95.712891)",65991
SE,Analytics Engineer,150000,100.0,M,United States,2023,"(37.09024, -95.712891)",76352
SE,Analytics Engineer,120000,100.0,M,United States,2023,"(37.09024, -95.712891)",76011
SE,Data Engineer,120000,0.0,M,United States,2023,"(37.09024, -95.712891)",74412
SE,Data Analyst,54685,100.0,M,Central African Republic,2023,"(6.611111, 20.939444)",44892
SE,Data Analyst,42533,100.0,M,Central African Republic,2023,"(6.611111, 20.939444)",17680
SE,Data Engineer,241000,0.0,M,United States,2023,"(37.09024, -95.712891)",28088
SE,Data Engineer,155000,0.0,M,United States,2023,"(37.09024, -95.712891)",88946
SE,Data Engineer,220000,100.0,M,United States,2023,"(37.09024, -95.712891)",80439
SE,Data Engineer,190000,100.0,M,United States,2023,"(37.09024, -95.712891)",63212
MI,Data Scientist,66837,0.0,M,United Kingdom,2023,"(55.378051, -3.435973)",27994
MI,Data Scientist,54685,0.0,M,United Kingdom,2023,"(55.378051, -3.435973)",31750
MI,ETL Engineer,85066,100.0,M,United Kingdom,2023,"(55.378051, -3.435973)",92551
MI,ETL Engineer,57723,100.0,M,United Kingdom,2023,"(55.378051, -3.435973)",14374
EN,Data Analyst,85000,100.0,M,United States,2023,"(37.09024, -95.712891)",87915
EN,Data Analyst,75000,100.0,M,United States,2023,"(37.09024, -95.712891)",43231
SE,Data Engineer,160000,0.0,M,United States,2023,"(37.09024, -95.712891)",56145
MI,Machine Learning Engineer,300000,0.0,M,United States,2023,"(37.09024, -95.712891)",73306
MI,Machine Learning Engineer,250000,0.0,M,United States,2023,"(37.09024, -95.712891)",57049
SE,Data Scientist,228000,0.0,M,United States,2023,"(37.09024, -95.712891)",79170
SE,Data Scientist,186000,0.0,M,United States,2023,"(37.09024, -95.712891)",62899
SE,Data Scientist,190000,0.0,M,United States,2023,"(37.09024, -95.712891)",83280
MI,Research Engineer,230000,0.0,M,United States,2023,"(37.09024, -95.712891)",32567
MI,Research Engineer,200000,0.0,M,United States,2023,"(37.09024, -95.712891)",57555
SE,Data Architect,180000,100.0,M,United States,2023,"(37.09024, -95.712891)",58112
SE,Data Architect,115000,100.0,M,United States,2023,"(37.09024, -95.712891)",48901
SE,Data Architect,200000,100.0,M,United States,2023,"(37.09024, -95.712891)",59853
SE,Data DevOps Engineer,53654,50.0,S,France,2023,"(46.227638, 2.213749)",19806
EX,Data Engineer,220000,0.0,M,United States,2023,"(37.09024, -95.712891)",38213
EX,Data Engineer,205000,0.0,M,United States,2023,"(37.09024, -95.712891)",29779
MI,Data Engineer,180000,0.0,M,United States,2023,"(37.09024, -95.712891)",64893
SE,Data Engineer,200000,100.0,M,United States,2023,"(37.09024, -95.712891)",96060
SE,Data Engineer,150000,100.0,M,United States,2023,"(37.09024, -95.712891)",44287
SE,Computer Vision Engineer,215000,0.0,M,United States,2023,"(37.09024, -95.712891)",57927
SE,Computer Vision Engineer,170000,0.0,M,United States,2023,"(37.09024, -95.712891)",99805
SE,Machine Learning Engineer,247500,0.0,M,United States,2023,"(37.09024, -95.712891)",75227
SE,Machine Learning Engineer,172200,0.0,M,United States,2023,"(37.09024, -95.712891)",35033
SE,Data Scientist,224000,0.0,M,Canada,2023,"(56.130366, -106.346771)",99232
SE,Data Scientist,176000,0.0,M,Canada,2023,"(56.130366, -106.346771)",55344
SE,Data Analyst,120000,100.0,M,United States,2023,"(37.09024, -95.712891)",75455
SE,Data Analyst,75000,100.0,M,United States,2023,"(37.09024, -95.712891)",69439
EN,Data Engineer,17022,100.0,L,India,2023,"(20.593684, 78.96288)",83732
SE,Applied Data Scientist,68318,100.0,M,Finland,2023,"(-25.274398, 133.775136)",63276
MI,AI Developer,75020,0.0,M,Finland,2023,"(61.92411, 25.748151)",63999
SE,Data Analyst,140000,0.0,M,United States,2023,"(37.09024, -95.712891)",82592
SE,Data Analyst,120000,0.0,M,United States,2023,"(37.09024, -95.712891)",59940
SE,Data Engineer,128000,0.0,M,United States,2023,"(37.09024, -95.712891)",94385
EX,Head of Data,329500,0.0,M,United States,2023,"(37.09024, -95.712891)",27074
EX,Head of Data,269600,0.0,M,United States,2023,"(37.09024, -95.712891)",75888
SE,Data Quality Analyst,100000,0.0,M,United States,2023,"(37.09024, -95.712891)",81386
SE,Data Quality Analyst,80000,0.0,M,United States,2023,"(37.09024, -95.712891)",85562
SE,Data Scientist,250000,0.0,M,United States,2023,"(37.09024, -95.712891)",71076
SE,Data Scientist,162500,0.0,M,United States,2023,"(37.09024, -95.712891)",28095
MI,AI Developer,200000,100.0,M,United States,2023,"(37.09024, -95.712891)",51773
SE,Data Engineer,100000,0.0,M,United States,2023,"(37.09024, -95.712891)",14617
EX,Data Engineer,145000,0.0,M,United States,2023,"(37.09024, -95.712891)",60570
EX,Data Engineer,115000,0.0,M,United States,2023,"(37.09024, -95.712891)",48497
SE,Data Scientist,203500,0.0,M,United States,2023,"(37.09024, -95.712891)",90147
SE,Data Scientist,152000,0.0,M,United States,2023,"(37.09024, -95.712891)",97097
SE,Data Scientist,239000,0.0,L,United States,2023,"(37.09024, -95.712891)",47865
SE,Data Scientist,122900,0.0,L,United States,2023,"(37.09024, -95.712891)",31816
SE,Data Scientist,237000,0.0,M,United States,2023,"(37.09024, -95.712891)",58739
SE,Data Scientist,145000,0.0,M,United States,2023,"(37.09024, -95.712891)",92418
SE,Data Science Manager,191765,0.0,M,United States,2023,"(37.09024, -95.712891)",69368
SE,Data Science Manager,134236,0.0,M,United States,2023,"(37.09024, -95.712891)",14515
SE,Analytics Engineer,190000,100.0,M,United States,2023,"(37.09024, -95.712891)",59846
SE,Analytics Engineer,112000,100.0,M,United States,2023,"(37.09024, -95.712891)",30548
SE,Data Scientist,88256,100.0,L,United Kingdom,2022,"(40.463667, -3.74922)",74234
SE,Data Analyst,135000,0.0,M,United States,2023,"(37.09024, -95.712891)",58988
SE,Data Analyst,105500,0.0,M,United States,2023,"(37.09024, -95.712891)",72923
SE,Research Engineer,293000,0.0,M,United States,2023,"(37.09024, -95.712891)",35382
SE,Research Engineer,185000,0.0,M,United States,2023,"(37.09024, -95.712891)",28222
SE,Data Analyst,80000,0.0,M,United States,2023,"(37.09024, -95.712891)",18957
SE,Data Analyst,70000,0.0,M,United States,2023,"(37.09024, -95.712891)",61677
SE,Data Engineer,160000,100.0,M,United States,2023,"(37.09024, -95.712891)",75092
SE,Data Scientist,175000,100.0,M,United States,2023,"(37.09024, -95.712891)",65178
SE,Data Scientist,145000,100.0,M,United States,2023,"(37.09024, -95.712891)",34451
SE,Data Analyst,200000,0.0,M,United States,2023,"(37.09024, -95.712891)",72361
SE,Data Analyst,148500,0.0,M,United States,2023,"(37.09024, -95.712891)",29651
SE,Data Engineer,240500,0.0,L,United States,2023,"(37.09024, -95.712891)",95698
SE,Data Engineer,123700,0.0,L,United States,2023,"(37.09024, -95.712891)",89552
SE,Analytics Engineer,152900,100.0,M,United States,2023,"(37.09024, -95.712891)",26830
SE,Analytics Engineer,117100,100.0,M,United States,2023,"(37.09024, -95.712891)",88906
SE,Analytics Engineer,173000,100.0,M,United States,2023,"(37.09024, -95.712891)",65832
SE,Analytics Engineer,113000,100.0,M,United States,2023,"(37.09024, -95.712891)",47090
SE,Applied Scientist,260000,0.0,L,United States,2023,"(37.09024, -95.712891)",87525
EX,Data Engineer,175000,0.0,M,United States,2023,"(37.09024, -95.712891)",10888
EX,Data Engineer,110000,0.0,M,United States,2023,"(37.09024, -95.712891)",58731
SE,Research Scientist,130000,100.0,M,United States,2023,"(37.09024, -95.712891)",71312
SE,Research Scientist,110000,100.0,M,United States,2023,"(37.09024, -95.712891)",97082
SE,Applied Scientist,205000,100.0,M,United States,2023,"(37.09024, -95.712891)",97570
SE,Applied Scientist,184000,100.0,M,United States,2023,"(37.09024, -95.712891)",33055
SE,Data Analyst,149500,100.0,M,United States,2023,"(37.09024, -95.712891)",55219
SE,Data Analyst,127075,100.0,M,United States,2023,"(37.09024, -95.712891)",10689
SE,Data Engineer,219535,100.0,M,United States,2023,"(37.09024, -95.712891)",48477
SE,Data Engineer,146115,100.0,M,United States,2023,"(37.09024, -95.712891)",84941
SE,Data Scientist,135000,0.0,M,United States,2023,"(37.09024, -95.712891)",55971
SE,Data Scientist,199000,0.0,M,United States,2023,"(37.09024, -95.712891)",66343
SE,Data Scientist,162000,0.0,M,United States,2023,"(37.09024, -95.712891)",16829
EX,Analytics Engineer,221000,100.0,M,United States,2023,"(37.09024, -95.712891)",83545
EX,Analytics Engineer,153000,100.0,M,United States,2023,"(37.09024, -95.712891)",35435
SE,Data Analyst,187000,0.0,M,United States,2023,"(37.09024, -95.712891)",50841
SE,Data Analyst,128000,0.0,M,United States,2023,"(37.09024, -95.712891)",84842
SE,Research Scientist,210000,0.0,M,United States,2023,"(37.09024, -95.712891)",41952
SE,Research Scientist,136000,0.0,M,United States,2023,"(37.09024, -95.712891)",24217
SE,Data Scientist,100000,100.0,M,United States,2023,"(37.09024, -95.712891)",84743
SE,Data Engineer,179000,0.0,M,United States,2023,"(37.09024, -95.712891)",33725
SE,Data Engineer,109000,0.0,M,United States,2023,"(37.09024, -95.712891)",76064
SE,Data Scientist,245000,0.0,M,United States,2023,"(37.09024, -95.712891)",60098
SE,Data Scientist,180000,0.0,M,United States,2023,"(37.09024, -95.712891)",92106
SE,Data Analyst,142000,100.0,M,United States,2023,"(37.09024, -95.712891)",73027
SE,Data Manager,198800,0.0,M,United States,2023,"(37.09024, -95.712891)",61232
SE,Data Manager,105200,0.0,M,United States,2023,"(37.09024, -95.712891)",69943
SE,Data Analyst,125000,100.0,M,United States,2023,"(37.09024, -95.712891)",79903
SE,Data Analyst,112000,100.0,M,United States,2023,"(37.09024, -95.712891)",57048
SE,Data Scientist,210000,0.0,M,United States,2023,"(37.09024, -95.712891)",13866
SE,Data Scientist,155000,0.0,M,United States,2023,"(37.09024, -95.712891)",74463
SE,Data Manager,115000,100.0,M,United States,2023,"(37.09024, -95.712891)",30937
SE,Data Manager,86000,100.0,M,United States,2023,"(37.09024, -95.712891)",36086
SE,Data Scientist,165000,0.0,M,United States,2023,"(37.09024, -95.712891)",73088
SE,Data Scientist,140000,0.0,M,United States,2023,"(37.09024, -95.712891)",95701
SE,Data Analyst,139000,0.0,M,United States,2023,"(37.09024, -95.712891)",81622
SE,Data Analyst,106000,0.0,M,United States,2023,"(37.09024, -95.712891)",32822
EN,Data Analyst,40663,0.0,L,Canada,2023,"(56.130366, -106.346771)",40318
SE,AI Developer,275000,0.0,S,Canada,2022,"(56.130366, -106.346771)",54893
MI,Machine Learning Engineer,280700,100.0,M,United States,2023,"(37.09024, -95.712891)",57504
MI,Machine Learning Engineer,150450,100.0,M,United States,2023,"(37.09024, -95.712891)",35862
EN,Data Scientist,51753,100.0,L,Canada,2023,"(56.130366, -106.346771)",68533
SE,Data Architect,250500,0.0,M,United States,2023,"(37.09024, -95.712891)",83188
SE,Data Architect,159500,0.0,M,United States,2023,"(37.09024, -95.712891)",99431
EN,Data Scientist,130001,100.0,M,United States,2023,"(37.09024, -95.712891)",90218
EN,Data Scientist,71907,100.0,M,United States,2023,"(37.09024, -95.712891)",16670
MI,Data Scientist,93918,100.0,M,United States,2023,"(37.09024, -95.712891)",77198
MI,Data Scientist,51962,100.0,M,United States,2023,"(37.09024, -95.712891)",82051
SE,Data Analyst,175000,100.0,M,Canada,2023,"(56.130366, -106.346771)",28464
SE,Data Analyst,135000,100.0,M,Canada,2023,"(56.130366, -106.346771)",62680
SE,Machine Learning Engineer,257000,0.0,M,United States,2023,"(37.09024, -95.712891)",16790
SE,Machine Learning Engineer,147000,0.0,M,United States,2023,"(37.09024, -95.712891)",66801
SE,Data Engineer,222000,100.0,M,United States,2023,"(37.09024, -95.712891)",15114
SE,Data Scientist,203000,100.0,M,United States,2023,"(37.09024, -95.712891)",76187
SE,Data Scientist,133200,100.0,M,United States,2023,"(37.09024, -95.712891)",87845
SE,Data Engineer,221000,0.0,M,United States,2023,"(37.09024, -95.712891)",56511
SE,Data Engineer,147000,0.0,M,United States,2023,"(37.09024, -95.712891)",46257
SE,Data Scientist,185900,0.0,M,United States,2023,"(37.09024, -95.712891)",45708
SE,Data Scientist,129300,0.0,M,United States,2023,"(37.09024, -95.712891)",96108
SE,Data Scientist,238000,100.0,M,United States,2023,"(37.09024, -95.712891)",26656
SE,Data Scientist,156000,100.0,M,United States,2023,"(37.09024, -95.712891)",18989
SE,Machine Learning Engineer,304000,100.0,M,United States,2023,"(37.09024, -95.712891)",63571
SE,Machine Learning Engineer,199000,100.0,M,United States,2023,"(37.09024, -95.712891)",51112
MI,Big Data Engineer,48289,100.0,M,Spain,2023,"(40.463667, -3.74922)",48824
SE,Data Engineer,150000,0.0,M,United States,2023,"(37.09024, -95.712891)",20858
SE,Data Engineer,130000,0.0,M,United States,2023,"(37.09024, -95.712891)",25865
SE,Data Scientist,140000,100.0,M,United States,2023,"(37.09024, -95.712891)",23149
SE,Data Scientist,110000,100.0,M,United States,2023,"(37.09024, -95.712891)",60541
MI,Data Analyst,90000,0.0,M,United States,2023,"(37.09024, -95.712891)",15519
MI,Data Analyst,75000,0.0,M,United States,2023,"(37.09024, -95.712891)",63869
MI,Research Scientist,195895,0.0,M,United Kingdom,2023,"(55.378051, -3.435973)",11905
MI,Research Scientist,102772,0.0,M,United Kingdom,2023,"(55.378051, -3.435973)",30730
SE,Data Engineer,240000,0.0,M,United States,2023,"(37.09024, -95.712891)",11112
SE,Data Engineer,183600,0.0,M,United States,2023,"(37.09024, -95.712891)",84634
MI,Data Specialist,130000,0.0,M,United States,2023,"(37.09024, -95.712891)",52016
MI,Data Specialist,80000,0.0,M,United States,2023,"(37.09024, -95.712891)",83651
SE,Data Engineer,250000,0.0,M,United States,2023,"(37.09024, -95.712891)",40585
SE,Data Analytics Manager,160000,100.0,M,United States,2023,"(37.09024, -95.712891)",52191
SE,Data Analytics Manager,120000,100.0,M,United States,2023,"(37.09024, -95.712891)",82052
SE,Machine Learning Engineer,289076,0.0,M,United States,2023,"(37.09024, -95.712891)",58521
